站點編號,站點名稱,城市,鄉鎮,經度,緯度,海拔高度,觀測時間,天氣現象,能見度描述,日照時數,風向,風速,氣溫,相對濕度,氣壓,紫外線指數,即時降水量,當日最高溫,當日最低溫
C2M530,奮起湖,嘉義縣,竹崎鄉,120.699253,23.493903,1385.0,2026-02-24 15:50:00+08:00,陰,-99,,230.0,0.7,16.4,96.0,,,0.0,22.2,12.6
U2H480,臺大溪頭,南投縣,鹿谷鄉,120.798194,23.670306,1150.0,2026-02-24 15:50:00+08:00,陰,-99,,330.0,0.6,16.3,95.0,,,0.0,21.0,12.8
A0F010,武陵,臺中市,和平區,121.308286,24.352825,1804.0,2026-02-24 15:50:00+08:00,陰,-99,,210.0,1.8,16.1,68.0,,,0.0,19.6,7.5
C2W030,金門(東),金門縣,金湖鎮,118.451786,24.448431,24.0,2026-02-24 15:50:00+08:00,陰,-99,,130.0,1.8,16.1,97.0,,,16.0,17.0,15.2
C2M950,太和,嘉義縣,梅山鄉,120.702961,23.538372,1367.0,2026-02-24 15:50:00+08:00,陰,-99,,340.0,1.8,16.1,95.0,,,0.0,20.9,13.4
72D080,五峰站,新竹縣,五峰鄉,121.157167,24.612194,1048.0,2026-02-24 15:50:00+08:00,陰,-99,,0.0,0.0,16.0,99.0,,,0.0,20.4,14.2
C2H9E0,國姓南港,南投縣,國姓鄉,120.846556,23.911108,1166.0,2026-02-24 15:50:00+08:00,陰,-99,,280.0,3.2,15.5,99.0,,,0.0,26.1,13.5
467990,馬祖,連江縣,南竿鄉,119.923158,26.169467,97.8,2026-02-24 15:50:00+08:00,陰有靄,3-6,0.1,210.0,2.2,15.4,98.0,1003.4,1.0,1.5,16.7,13.0
C2FB60,頭櫃山,臺中市,新社區,120.858925,24.129842,1117.0,2026-02-24 15:50:00+08:00,陰,-99,,300.0,5.2,15.3,99.0,,,0.0,24.8,13.5
CAW010,東引,連江縣,東引鄉,120.483631,26.358836,42.0,2026-02-24 15:50:00+08:00,陰有靄,3-6,,160.0,1.4,14.5,94.0,,,1.0,15.6,12.6
C2H9L0,馬烈霸,南投縣,仁愛鄉,121.201772,24.1512,1999.0,2026-02-24 15:50:00+08:00,陰,-99,,140.0,1.2,13.8,78.0,,,0.0,20.0,11.4
E2HA20,畢祿溪站,南投縣,仁愛鄉,121.308522,24.226944,2188.0,2026-02-24 15:50:00+08:00,陰,-99,,0.0,0.0,13.7,65.0,,,0.0,20.1,3.8
CAC040,拉拉山,桃園市,復興區,121.427133,24.699317,1684.0,2026-02-24 15:50:00+08:00,陰,-99,,200.0,0.6,13.4,91.0,,,0.0,18.4,11.0
C2H9Q0,北東眼山,南投縣,仁愛鄉,121.189303,24.120939,2032.0,2026-02-24 15:50:00+08:00,陰,-99,,90.0,0.4,13.2,81.0,,,0.0,19.0,10.9
C2H9K0,屯原,南投縣,仁愛鄉,121.209389,24.067969,2047.0,2026-02-24 15:50:00+08:00,陰,-99,,210.0,1.8,13.1,81.0,,,0.0,17.3,11.3
467530,阿里山,嘉義縣,阿里山鄉,120.813242,23.508208,2413.4,2026-02-24 15:50:00+08:00,多雲,>30,2.6,240.0,1.0,11.7,87.0,,3.0,0.0,13.6,7.6
C2F860,梨山,臺中市,和平區,121.243669,24.247522,2215.0,2026-02-24 15:50:00+08:00,陰,-99,,210.0,3.1,11.7,82.0,,,0.0,17.0,7.5
467550,玉山,南投縣,信義鄉,120.95943,23.48718,3844.8,2026-02-24 15:50:00+08:00,多雲,-99,1.6,240.0,2.0,7.4,58.0,,3.0,0.0,10.9,1.9
A0Z080,合歡山,花蓮縣,秀林鄉,121.284231,24.143186,3171.0,2026-02-24 15:50:00+08:00,陰,-99,,90.0,5.9,5.0,80.0,,,0.0,13.1,3.2
467480,嘉義,嘉義市,西區,120.432906,23.495925,26.9,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
468100,東沙島,高雄市,旗津區,116.73,20.700856,4.0,2026-02-24 15:50:00+08:00,-99,-99,,,,,,,,,,
A0W080,吉貝,澎湖縣,白沙鄉,119.604189,23.740011,3.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
U2HA50,臺大竹山,南投縣,竹山鎮,120.681556,23.756972,156.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
V2K620,麥寮合作社,雲林縣,麥寮鄉,120.294783,23.753836,9.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
E2P990,扇平林試,高雄市,茂林區,120.685703,22.9677,677.0,2026-02-24 15:50:00+08:00,多雲,-99,,,,,,,,,,
A2K360,臺西水試,雲林縣,臺西鄉,120.190522,23.717231,1.0,2026-02-24 15:50:00+08:00,陰,-99,,10.0,2.1,,,,,0.0,,
V2C250,八德合作社,桃園市,八德區,121.266389,24.93775,150.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAJ050,海口故事園區,雲林縣,口湖鄉,120.14121,23.57543,4.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAQ030,崎峰國小,屏東縣,林邊鄉,120.49521,22.42565,10.0,2026-02-24 15:50:00+08:00,陰,-99,,190.0,4.2,,,,,0.0,,
C2H9X0,福盛,南投縣,中寮鄉,120.84077,23.89353,706.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAG010,國一N198K,彰化縣,彰化市,120.523056,24.063889,28.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAP030,國一N351K,高雄市,橋頭區,120.328888,22.765833,37.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAJ040,西濱S241K,雲林縣,口湖鄉,120.172646,23.623426,14.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
CAC050,西濱S023K,桃園市,蘆竹區,121.27551,25.11649,23.0,2026-02-24 15:50:00+08:00,陰,21-30,,,,,,,,,,
CAC060,西濱S032K,桃園市,大園區,121.192505,25.091966,21.0,2026-02-24 15:50:00+08:00,陰,-99,,,,,,,,,,
