序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置
2544,雲林縣西螺鎮,大園里,西螺鎮大園里光復東路95號,120.472500,23.798300,大園里活動中心,大園里,50,"水災,震災,土石流,海嘯",鍾進利,55875052,是,否,是
2545,南投縣水里鄉,頂崁村,圳頭巷27-2號,120.865831,23.798748,頂崁社區活動中心,新山村第1鄰、頂崁村,100,,賴清元,049-2775391,否,否,否
2546,雲林縣西螺鎮,河南里,西螺鎮河南里河南58號,120.441400,23.799500,河南里活動中心,河南里,50,"水災,震災,土石流,海嘯",李湖,55862451,是,否,是
2547,雲林縣西螺鎮,河南里,河南58號,120.441400,23.799500,河南里活動中心,河南里,50,"水災,土石流,海嘯",李湖,55862451,是,否,是
2548,雲林縣西螺鎮,中興里,延平路五０四號,120.448900,23.799600,文昌國小,中興里、詔安里,500,"水災,震災,土石流,海嘯",梁博雍,55862013,是,否,是
2549,雲林縣西螺鎮,詔安里,詔安16-1號,120.445600,23.799700,詔安里活動中心,詔安里,50,"水災,土石流,海嘯",王俊南,55862450,是,否,是
2550,雲林縣西螺鎮,安定里,安定100號號,120.439400,23.799800,安定里活動中心,安定里,50,"水災,土石流,海嘯",程進輝,55862453,是,否,是
2551,彰化縣二水鄉,大園村,彰化縣二水鄉大園村員集路二段316號,120.642400,23.800000,源泉國小活動中心,全鄉,80,"水災,震災,土石流,海嘯",江俊穎,04-8792304,是,否,是
2552,彰化縣二水鄉,修仁村,修仁路27-3號,120.631495,23.800055,修仁村活動中心,修仁村,131,"水災,土石流,海嘯",黃恆應,04-8790236,否,否,否
2553,彰化縣二水鄉,裕民村,南通路2段764號,120.630900,23.800300,二水鄉公所,裕民村、文化村,60,"水災,震災,土石流,海嘯",羅孟商,04-8794598,是,否,是
2554,雲林縣二崙鄉,庄西村,公館15-1號,120.363700,23.800600,禪和宮,大庄村、庄西村、大同村,200,"水災,震災",洪泰丘,05-5983879,是,否,是
2555,雲林縣西螺鎮,福興里,延平路180號,120.460800,23.801300,西螺福興宮,福興里、光華里、中興里,120,"水災,震災,土石流,海嘯",楊文鐘,05-5865490,是,否,是
2556,雲林縣西螺鎮,福興里,中市路31號,120.459900,23.801800,聯合里辦公處,福興里.光華里,100,"水災,土石流,海嘯",陳翠華,55864354,是,否,是
2557,雲林縣西螺鎮,中興里,東南路326號,120.454800,23.802800,東南國中,中興里、光華里、福興里,600,"水災,震災,土石流,海嘯",劉盛華,55874171,是,否,是
2558,花蓮縣鳳林鎮,林榮里,永康路54號,121.450000,23.803500,林榮社區活動中心,林榮里,50,"水災,土石流",江麗琴,03-8771014,是,否,否
2559,南投縣水里鄉,永豐村,南湖一路25號,120.857221,23.804301,永豐社區活動中心,永豐村,300,,陳韋帆,049-2771352,否,否,否
2560,彰化縣二水鄉,大園村,大園巷 11-9號,120.637258,23.804774,大園村活動中心,大園村,108,"水災,土石流,海嘯",陳建仁,04-8791318,否,否,否
2561,南投縣鹿谷鄉,瑞田村,仁愛路69-3號,120.792900,23.804800,瑞田社區活動中心,瑞田村,250,"水災,震災,土石流,海嘯",莊喬園,049-2671056,是,否,是
2562,南投縣水里鄉,上安村,水信路路3段221巷1號,120.835733,23.806556,上安社區老人會館,上安村,50,,劉瑞平,932552166,否,否,否
2563,南投縣水里鄉,上安村,三部三路9號,120.835733,23.806556,上安社區活動中心,上安村,200,,陳永成,911663799,否,否,否
2564,南投縣水里鄉,玉峰村,仁愛路7-19號,120.835733,23.806556,玉峰社區活動中心,玉峰村,400,,陳務育,049-2777123,否,否,否
2565,雲林縣麥寮鄉,雷厝村,6鄰雷厝62-2號,120.289100,23.806700,雷厝活動中心,雷厝村、新吉村、施厝村、橋頭村、三盛村,50,"水災,震災",陳正收,05-6912059,是,否,否
2566,彰化縣二水鄉,惠民村,山腳路一段48-1號,120.632285,23.806923,惠民村活動中心,惠民村,127,"水災,土石流,海嘯",陳家祐,04-8793788,否,否,否
2567,彰化縣二水鄉,裕民村,裕民巷53號,120.618217,23.807484,受玄宮,裕民村,160,"水災,土石流,海嘯",許美月,04-8793824,否,否,否
2568,雲林縣麥寮鄉,新吉村,新吉69號,120.276300,23.807600,新吉社區活動中心,興華村、瓦村、崙後村、麥豐村,30,"水災,震災",林靜雄,6912945,是,否,否
2569,彰化縣二水鄉,上豊村,山腳路一段113-5號,120.631193,23.808275,海豐村活動中心,上豐村,53,"水災,土石流,海嘯",李新富,04-8792363,否,否,否
2570,南投縣竹山鎮,山崇里,集山路一段1729號,120.720500,23.809500,社寮國中教室及活動中心,山崇里,100,"水災,震災,土石流",劉松彥,049-2622010,是,否,否
2571,彰化縣二水鄉,二水村,員集路三段625號,120.615818,23.809740,二水村活動中心,二水村,21,"水災,土石流,海嘯",楊景林,04-8790512,否,否,否
2572,彰化縣二水鄉,聖化村,溪邊巷72號,120.616648,23.809958,圖書館二樓,聖化村,114,"水災,土石流,海嘯",陳村仁,04-8794333,否,否,否
2573,南投縣水里鄉,南光村,民族路151號,120.854753,23.810077,水里國小禮堂,南光村,500,,周進科,049-2770014,否,否,否
2574,南投縣水里鄉,鉅工村,民生路2號,120.857053,23.811019,水里國中體育館,鉅工村3–17鄰,500,,陳啟濃,049-2772141,否,否,否
2575,南投縣水里鄉,鉅工村,民生路112號,120.856075,23.811322,水里鄉公所,鉅工村1–2鄰,200,,陳癸佑鄉,049-2772141,否,否,否
2576,彰化縣二水鄉,文化村,文化一 巷1號,120.618783,23.811622,文化村活動中心,文化村,56,"水災,土石流,海嘯",陳陽,04-8792166,否,否,否
2577,南投縣竹山鎮,中央里,集山路1段955號,120.738000,23.811800,中州國小活動中心,中央里,80,"水災,震災,土石流",陳豐榮,049-2622625,是,否,否
2578,南投縣水里鄉,北埔村,博愛路37號,120.853693,23.812232,三村集會所,北埔村,100,"水災,震災,土石流,海嘯",楊偉如,049-2772141,是,否,否
2579,南投縣水里鄉,北埔村,北埔街96號,120.853008,23.813040,第三立體停車場三樓,北埔村,500,,楊偉如,049-2771493,否,否,否
2580,南投縣竹山鎮,富州里,集山路1段422號,120.747000,23.814100,富州社區活動中心,富州里,50,"水災,震災,土石流",陳朝焚,049-2622012,是,否,否
2581,彰化縣二水鄉,光化村,光進一巷20-1號,120.615971,23.814279,光化村活動中心,光化村,64,"水災,土石流,海嘯",孔炳煌,04-8796929,否,否,否
2582,彰化縣溪州鄉,潮洋村,彰化縣溪州鄉潮洋村陸軍路1段146號,120.519500,23.814300,潮洋國小,"潮洋村,張厝村",42,"水災,震災,土石流,海嘯",總務,04-8803059,是,否,是
2583,南投縣竹山鎮,中央里,集山路1段1236巷6號,120.733400,23.814500,中央社區活動中心,中央里,43,"水災,震災,土石流",莊錦川,049-2622252,是,否,否
2584,彰化縣二水鄉,五伯村,過圳路222號,120.612113,23.814864,五伯村活動中心,五伯村,31,"水災,土石流,海嘯",陳大森,04-8795951,否,否,否
2585,南投縣水里鄉,中央村,中正路116號,120.852127,23.814914,中央社區活動中心,中央村,500,,林錦龍,049-2772141,否,否,否
2586,彰化縣溪州鄉,大庄村,彰化縣溪州鄉大村中橫巷1號,120.567500,23.816000,大庄國小,"大庄村,榮光村",42,"水災,震災,土石流,海嘯",總務,04-8802438,是,否,是
2587,南投縣魚池鄉,武登村,銃櫃巷18號,120.885100,23.816900,日月潭特色遊學中心原光明國小,武登村,30,"水災,震災,土石流",魏煜桀,049-2861122,是,否,否
2588,南投縣水里鄉,農富村,民生路158號,120.854148,23.817226,水里鄉農會倉庫,農富村,300,,陳昭喜,049-2772141,否,否,否
2589,南投縣竹山鎮,社寮里,大公街75號,120.722300,23.817400,社寮社區活動中心,社寮里,80,"水災,震災,土石流",王慶裕,049-2624653,是,否,否
2590,南投縣水里鄉,城中村,民權路335號,120.848799,23.817421,義民廟,城中村、新山村,20,,張如判,049-2770255,否,否,否
2591,南投縣信義鄉,潭南村,和平巷36-2號,120.940118,23.817457,潭南活動中心,潭南村1-2鄰,40,"水災,震災,土石流",谷仁英,049-2741561,是,否,否
2592,南投縣名間鄉,新民村,外埔巷11之28號,120.692400,23.818500,新民村集會所,新民村1-12鄰,30,"水災,震災,土石流",陳元樑,049-2731896,是,否,否
2593,彰化縣二水鄉,過圳村,三義巷30-7號,120.607488,23.818606,過圳村活動中心,過圳村,64,"水災,土石流,海嘯",蔡高傑,04-8796327,否,否,否
2594,南投縣水里鄉,水里村,山頂巷192號,120.852233,23.818731,憫世寶宮,水里村,300,,陳萬忠,049-2770228,否,否,否
2595,花蓮縣壽豐鄉,溪口村,溪口路103巷2號,121.473400,23.819500,溪口活動中心,溪口村,50,"水災,震災,土石流,海嘯",黃素珠,03-8652809,是,否,是
2596,南投縣水里鄉,新城村,中山路二段150號,120.848389,23.819695,成城國小會議室、105-106、201-208教室,新城村,400,,許建睿,049-2770140,否,否,否
2597,南投縣名間鄉,埔中村,埔中巷11-12號,120.643600,23.821000,埔中村民眾活動中心,埔中村1-11鄰,30,"水災,震災",陳建州,0933-420047,是,否,否
2598,南投縣信義鄉,潭南村,和平巷48號,120.939870,23.821418,潭南國小,潭南村3-4鄰,60,"水災,震災,土石流",呂和明,049-2741381,是,否,是
2599,南投縣魚池鄉,頭社村,平和巷40之2號,120.908000,23.823400,頭社社區活動中心會所三聖宮,頭社村,50,"水災,震災,土石流",黃順昱,049-2861789,是,否,是
2600,彰化縣二水鄉,合和村,番田一巷46號,120.612473,23.823503,合和村活動中心,合和村,142,"水災,土石流,海嘯",董碧顏,04-8796603,否,否,否
2601,彰化縣溪州鄉,成功村,彰化縣溪州鄉成功村登山路2段365號,120.544800,23.826100,成功國小,"成功村,柑園村,西畔村1-8鄰",42,"水災,震災,土石流,海嘯",總務,04-8802225,是,否,是
2602,彰化縣溪州鄉,三條村,彰化縣溪州鄉三條村中央路2段31號,120.494500,23.826900,三條國小,"三條村,三圳村,菜公村",42,"水災,震災,土石流,海嘯",總務,04-8895080,是,否,是
2603,南投縣名間鄉,炭寮村,炭寮巷1之50號,120.679000,23.828400,炭寮村集會所,炭寮村1-15鄰,50,"水災,震災",蔡文益,049-2734560,是,否,否
2604,彰化縣二水鄉,十五村,十五路33-1號,120.601502,23.828596,十五村活動中心,十五村,22,"水災,土石流,海嘯",陳岳宏,04-8745687,否,否,否
2605,彰化縣二水鄉,復興村,員集路5段472號,120.604775,23.829548,復興村活動中心,復興村,113,"水災,土石流,海嘯",林玉燕,04-8795888,否,否,否
2606,南投縣名間鄉,濁水村,福興巷14號（福興宮旁）,120.712100,23.830800,濁水村集會所,濁水村1-18鄰,40,水災,吳欽緯,049-2732409,是,否,否
2607,南投縣水里鄉,車埕村,民權巷127號,120.865694,23.831567,車埕國小禮堂,車埕村1–10鄰,200,,周進科,049-2771447,否,否,否
2608,南投縣集集鎮,集集里,成功路205號,120.785291,23.831643,集集里里集會所暨社區活動中心,集集里,50,"水災,震災,土石流",許宗壹,049-2764076,是,否,否
2609,南投縣魚池鄉,武登村,集里路34號,120.894000,23.831800,英文堂廣場,武登村,25,"水災,震災,土石流",王大嘉,049-2895371,是,是,否
2610,彰化縣田中鎮,大崙里,大安路2段312號,120.594904,23.831884,昭天宮廣場,大崙里,181,"水災,土石流,海嘯",蔡俊生,04-8761122,否,是,否
2611,彰化縣溪州鄉,水尾村,彰化縣溪州鄉水尾村太平路137號,120.471600,23.831900,水尾國小,水尾村,42,"水災,震災,土石流,海嘯",總務,04-8892442,是,否,是
2612,南投縣水里鄉,車埕村,民權巷33-1號,120.864430,23.833623,車埕社區活動中心,車埕村11–13鄰,50,,邱博仁,049-2772141,否,否,否
2613,南投縣名間鄉,松山村,豐柏路38號,120.633900,23.834200,松嶺社區活動中心,松山村1-14鄰,60,"水災,震災",吳耀基社,0952-681996,是,否,否
2614,南投縣集集鎮,永昌里,柴橋巷3-1號,120.817036,23.834550,永昌里里集會所暨社區活動中心,永昌里,20,"水災,震災,土石流",陳樹連,049-2761181,是,否,否
2615,南投縣名間鄉,松柏村,名松路二段216之1號,120.635500,23.834600,松柏村集會所,松柏村1-12鄰,40,"水災,震災",陳嘉申,049-2581563,是,否,否
2616,花蓮縣壽豐鄉,豐坪村,豐坪路2段73號,121.509600,23.835100,豐坪活動中心,豐坪村,32,"水災,震災,土石流,海嘯",曾振倫,03-8652803,是,否,是
2617,南投縣名間鄉,崁腳村,名松路一段350號,120.660000,23.835300,崁腳村民眾活動中心,崁腳村1-10鄰,30,"水災,震災",謝舜日,049-2582662,是,否,否
2618,南投縣集集鎮,田寮里,龍泉巷15號,120.750900,23.836300,聯勤兵整中心,全鎮,300,"水災,震災,土石流,海嘯",李嘉玲,049-2781439549512,是,是,是
2619,南投縣名間鄉,南雅村,市場巷20-2號,120.702841,23.837014,南雅村集會所,南雅村1~12鄰,20,水災,陳信如,049-2737221,否,否,否
2620,南投縣魚池鄉,頭社村,平和巷105號,120.902700,23.837300,頭社國小,頭社村,75,"水災,震災,土石流",洪旭亮,049-2861237,是,是,否
2621,彰化縣竹塘鄉,田頭村,光明路60號,120.448869,23.837309,田頭國小,田頭村,200,"水災,震災,土石流,海嘯",李隆吉,04-8972189,是,否,是
2622,南投縣名間鄉,中正村,彰南路40-1號,120.703300,23.838200,公所中山堂,中正村1-21鄰,50,"水災,震災,土石流",行政室,2732116-111,是,否,否
2623,彰化縣溪州鄉,圳寮村,彰化縣溪州鄉圳寮村下樹巷29號,120.522900,23.839100,圳寮國小,圳寮村,42,"水災,震災,土石流,海嘯",總務,04-8802165,是,否,是
2624,彰化縣大城鄉,公館村,青埔路7-8號,120.300323,23.839610,永光國小,公館村,100,"水災,震災,土石流,海嘯",莊正嘉,8941640,否,否,否
2625,彰化縣田中鎮,三安里,大安路1段200號,120.594376,23.840611,大安國小,三安里、香山里,181,"水災,震災,土石流,海嘯",吳素琴,876112,是,否,是
2626,花蓮縣壽豐鄉,樹湖村,大樹腳59號,121.469200,23.840700,樹湖活動中心,樹湖村,38,"水災,震災,土石流,海嘯",黃素珠,03-8652810,是,否,是
2627,南投縣名間鄉,中山村,名松路一段83號,120.693200,23.841900,中山村集會所,中山村1-18鄰,50,水災,周文華,049-2731889,是,否,否
2628,彰化縣埔心鄉,羅厝村,文昌東路100號,120.510000,23.842000,羅厝國小,南館村、新館村、舊館村、芎蕉村、羅厝村,100,"水災,震災,土石流,海嘯",盧錫,048-296249-31,否,否,否
2629,彰化縣大城鄉,山腳村,古山路57號,120.310320,23.842146,萬安宮,山腳村,100,"水災,土石流,海嘯",羅美智,8943605,否,否,否
2630,彰化縣大城鄉,上山村,大山路2-1號,120.318028,23.842192,上山社區活動中心,上山村,100,"水災,土石流,海嘯",蔡金袋,8941155,否,否,否
2631,南投縣名間鄉,新厝村,新厝路74號,120.659100,23.842700,新厝村集會所,新厝村1-13鄰,60,水災,陳勇祥,049-2732768,是,否,否
2632,彰化縣溪州鄉,西畔村,廣一巷24號,120.539900,23.842900,成功國小西畔分校,西畔村9-16鄰,42,"水災,震災,土石流,海嘯",分校,04-8802179,是,否,是
2633,彰化縣溪州鄉,溪厝村,彰化縣溪州鄉溪厝村中山路2段362號,120.479100,23.844200,僑義國小,"溪厝村,坑厝村",33,"水災,震災,土石流,海嘯",總務,04-8892244,是,否,是
2634,彰化縣竹塘鄉,樹腳村,福田路6號,120.447765,23.844303,樹腳社區活動中心,樹腳村,50,"水災,土石流,海嘯",林清,8970067,是,否,否
2635,彰化縣大城鄉,頂庄村,許厝巷10號,120.272574,23.844414,臺西社區活動中心,頂庄村,100,"水災,土石流,海嘯",許山日,919811567,否,否,否
2636,花蓮縣壽豐鄉,豐山村,中山路41號,121.491800,23.846400,豐山國小,豐山村,50,"水災,震災,土石流,海嘯",林忠宏,03-8651640,是,否,是
2637,彰化縣竹塘鄉,新廣村,光明路廣福巷57號,120.430132,23.846486,新廣社區活動中心,"新廣村,溪墘村",100,"水災,土石流,海嘯",鐘順勝,8972978,是,否,是
2638,南投縣名間鄉,三崙村,中庄巷7號,120.636700,23.846800,三崙社區活動中心,三崙村1-14鄰,30,"水災,震災",謝孟龍社,0955-401472,是,否,否
2639,彰化縣竹塘鄉,長安村,東陽路二段123號,120.386672,23.847335,長安國小,"長安村,長安",100,"水災,震災,土石流,海嘯",吳貴枝,04-8972694,否,是,是
2640,花蓮縣壽豐鄉,豐山村,中山路127巷15號,121.493600,23.847800,豐山活動中心,豐山村,47,"水災,震災,土石流,海嘯",陳春盛,03-8652801,是,否,是
2641,彰化縣大城鄉,頂庄村,東厝路63-1號,120.282454,23.848336,頂庄國小,頂庄村,100,"水災,震災,土石流,海嘯",翁于茹,8945107,否,否,否
2642,南投縣魚池鄉,日月村,中正路211巷1號,120.935500,23.848500,德化國小,日月村,150,"水災,震災,土石流",簡文益,049-2850441,是,是,否
2643,彰化縣竹塘鄉,土庫村,東陽路一段362號,120.409448,23.849540,土庫國小,"內新村,土庫村",100,"水災,震災,土石流,海嘯",何承融,04-8972140,是,否,是
2644,彰化縣埤頭鄉,竹圍村,竹圍路187號,120.454562,23.850218,竹圍社區活動中心,竹圍村,50,"水災,土石流,海嘯",黃昭仁,04-8893621,是,否,否
2645,彰化縣溪州鄉,溪州村,中央路三段300號,120.495100,23.850400,溪州國中,溪州村,78,"水災,震災,土石流,海嘯",總務,04-8895054,是,否,是
2646,南投縣名間鄉,三崙村,弓鞋巷16之2號,120.626200,23.850400,弓鞋社區活動中心,三崙村15-22鄰,30,"水災,震災",陳建龍社,0910-478459,是,否,否
2647,彰化縣田中鎮,沙崙里,沙崙路281號,120.583072,23.851096,沙崙社區活動中心,沙崙里,181,"水災,土石流,海嘯",蘇秀霧,8761122,是,否,是
2648,彰化縣溪州鄉,溪州村,圳南路138號,120.497777,23.851238,老人文康活動中心,"溪州村,尾厝村",42,"水災,震災,土石流,海嘯",陳明桂,04-8891384,是,否,否
2649,彰化縣溪州鄉,尾厝村,彰化縣溪州鄉尾厝村中山路3段415號,120.497100,23.852600,溪州國小,"尾厝村,東州村,舊眉村",584,"水災,震災,土石流,海嘯",總務,04-8895013,是,否,是
2650,彰化縣大城鄉,大城村,彰化縣大城鄉大城村中平路132號,120.324000,23.852900,大城國中,全鄉,100,"水災,震災,土石流,海嘯",白崢仁,048-942980-13,是,是,是
2651,彰化縣大城鄉,大城村,彰化縣大城鄉大城村中平路176號,120.320300,23.853000,大城演藝廳,全鄉,100,"水災,土石流,海嘯",白崢仁,048-942980-13,是,是,是
2652,彰化縣大城鄉,東城村,彰化縣大城鄉東城村南平路224號,120.320300,23.853000,大城國小,全鄉,100,"水災,震災,土石流,海嘯",白崢仁,048-942980-13,是,是,是
2653,彰化縣溪州鄉,溪州村,彰化縣溪州鄉溪州村公園路95號,120.490900,23.853000,南州國小,瓦厝村,363,"水災,震災,土石流,海嘯",總務,04-8892224,是,否,是
2654,彰化縣田中鎮,新庄里,中南路三段 54 號,120.599700,23.853700,彰化縣田中鎮內安國民小學,新庄里、三安里、香山里、碧峰里、東源里、復興里,100,"水災,震災,土石流,海嘯",林秋雲,04-8761122259,是,否,是
2655,彰化縣田中鎮,新民里,公館路320號,120.585674,23.854280,新民國小,新民里,181,"水災,震災,土石流,海嘯",蘇秀霧,8761122,是,否,是
2656,彰化縣北斗鎮,大新里,大新路556號,120.557239,23.854950,大新國小,大新里、新生里,440,"水災,震災,土石流,海嘯",許瑋玲,04-8882640#10,是,否,是
2657,花蓮縣萬榮鄉,西林村,8鄰134號,121.342737,23.855288,西林社區活動中心,西林村,100,"水災,土石流,海嘯",郭瑪利,03-8771524,是,否,是
2658,彰化縣埤頭鄉,陸嘉村,中華路434號,120.470711,23.855657,陸嘉社區活動中心,陸嘉村,15,"水災,土石流,海嘯",林福財,04-8890399,是,否,否
2659,南投縣名間鄉,仁和村,山腳巷17-2號,120.705700,23.856200,仁和村集會所,仁和村1-12鄰,50,"水災,土石流",陳訓田,049-2734156,是,否,否
2660,彰化縣田中鎮,新庄里,中山街134號,120.594252,23.856537,新庄社區活動中心,東源里、新庄里,141,"水災,震災,土石流,海嘯",吳素琴,8761122,是,否,是
2661,彰化縣田中鎮,中路里,中新路229號,120.588689,23.856625,田中鎮立圖書館,中路里,320,"水災,土石流,海嘯",洪巧凌,8761122,是,否,是
2662,南投縣名間鄉,新光村,大廈巷30號,120.675800,23.856800,廈新社區活動中心,新光村1-17鄰,40,"水災,震災",謝坤憲社,0912-384550,是,否,否
2663,彰化縣田中鎮,梅州里,中州路一段416號,120.582100,23.857100,彰化縣立景崧文化教育園區-龍江館,梅州里、西路里、新民里、沙崙里、大崙里,150,"水災,土石流,海嘯",林秋雲,04-8761122259,是,否,是
2664,彰化縣田中鎮,南路里,中州路1段177號,120.587487,23.857342,田中國小,南路里、東路里、西路里,272,"水災,震災,土石流,海嘯",劉麗真,8761122,是,否,是
2665,花蓮縣萬榮鄉,西林村,7鄰103號,121.359300,23.857600,西林天主堂,西林村,100,"水災,土石流,海嘯",郭瑪利,03-8771524,是,否,是
2666,南投縣名間鄉,竹圍村,竹圍巷39號,120.638200,23.858200,竹圍村社區活動中心,竹圍村1-11鄰,50,"水災,震災",黃玉輝社,0910-541490,是,否,否
2667,南投縣名間鄉,赤水村,南田路258之10號,120.631700,23.859500,赤水社區活動中心,赤水村1-10鄰,20,"水災,震災",陳瑞波社,049-2271283,是,否,否
2668,彰化縣埤頭鄉,新庄村,光華路124號,120.483697,23.859739,新庄社區活動中心,新庄村,20,"水災,土石流,海嘯",鄭文周,04-8892001,是,否,否
2669,彰化縣竹塘鄉,竹林村,竹鹿路保安巷45號,120.402920,23.860386,竹林社區活動中心,竹林村,50,"水災,土石流,海嘯",邱供,8973473,是,否,是
2670,南投縣名間鄉,大坑村,武東巷11之2號,120.657800,23.860500,大坑村集會所,大坑村1-11鄰,60,"水災,震災",陳振科,049-2271297,是,否,否
2671,彰化縣田中鎮,東路里,員集路2段462號,120.585000,23.860600,田中鎮公所公共造產公有第一零售市場,東路里、中路里、北路里、南路里、頂潭里、平和里,150,"水災,土石流,海嘯",謝文賢,04-8761122轉259,是,否,是
2672,彰化縣大城鄉,東港村,東港村中央路2號,120.286532,23.860997,西港國小二樓,東港村,100,"水災,震災,土石流,海嘯",張慧媚,8941029,否,否,否
2673,彰化縣竹塘鄉,竹塘村,文化街20號,120.428771,23.861033,竹塘國小,竹塘村竹元村,200,"水災,震災,土石流,海嘯",楊深耕,04-8972039,是,否,是
2674,彰化縣田中鎮,西路里,斗中路1段210號,120.580803,23.861492,田中鎮民活動中心,梅州里,75,"水災,土石流,海嘯",許秀卿,8761122,是,否,是
2675,南投縣名間鄉,東湖村,虎坑巷6之1號,120.695500,23.862200,虎坑社區活動中心,東湖村16-26鄰,60,水災,吳元仁社,049-2732508,是,否,否
2676,桃園市龜山區,幸福里,頂興路83巷1弄1號,120.971916,23.862946,幸福國小,幸福里,200,"水災,震災,土石流,海嘯",郭博嵐,3194072#511,是,否,是
2677,桃園市龜山區,楓樹里,光峰路277號,120.971916,23.862946,楓樹國小,楓樹里,200,"水災,震災,土石流,海嘯",林士哲,3206166#510,是,否,否
2678,南投縣名間鄉,東湖村,大老巷34號,120.700000,23.865200,東仁社區活動中心,東湖村1-15鄰,60,水災,陳堅勝社,049-2734896,是,否,否
2679,彰化縣田中鎮,北路里,員集路2段715號,120.586202,23.865501,三潭國小,頂潭里、中潭里、北路里,272,"水災,震災,土石流,海嘯",劉麗真,8761122,是,否,是
2680,彰化縣埤頭鄉,大湖村,大湖路260號,120.452800,23.865900,大湖社區活動中心,大湖村,40,"水災,土石流,海嘯",紀佑澤,48922117,是,否,是
2681,彰化縣北斗鎮,中和里,彰化縣北斗中和里中圳路305號,120.546200,23.866100,中和社區活動中心,中和里,150,"水災,土石流,海嘯",陳燕姿,04-8884166#32,是,否,是
2682,南投縣魚池鄉,水社村,中山路191號,120.909800,23.867400,明潭國小,水社村,100,"水災,震災,土石流",施俊吉,049-2855045,是,是,否
2683,彰化縣田中鎮,復興里,山腳路4段188巷109號,120.606200,23.867482,東和國小,復興里、平和里,181,"水災,震災,土石流,海嘯",周錦楷,04-8761122,是,否,是
2684,彰化縣田中鎮,龍潭里,大社路1段216巷100弄20號,120.580809,23.867615,龍潭社區活動中心,龍潭里,121,"水災,土石流,海嘯",蕭茂興,8761122,是,否,是
2685,花蓮縣壽豐鄉,月眉村,月眉路3段24號,121.556384,23.867967,月眉國小,壽豐鄉月眉村,50,"水災,震災,土石流,海嘯",劉康盛,03-8631011,是,否,是
2686,花蓮縣壽豐鄉,米棧村,米棧路一段53號,121.556400,23.868100,月眉國小-米棧分校,米棧村,45,"水災,震災,土石流,海嘯",鍾萬仁,03-8741270,是,否,是
2687,南投縣魚池鄉,水社村,中山路190號,120.911300,23.868400,明潭國中,水社村,150,"水災,震災,土石流",王慧娟,049-2855145,是,是,否
2688,花蓮縣壽豐鄉,壽豐村,壽豐路1段97號,121.509900,23.869100,壽豐活動中心,壽豐村,13,"水災,震災,土石流,海嘯",劉鳳珠,03-8652805,是,否,是
2689,彰化縣大城鄉,菜寮村,東平路6號,120.312409,23.869103,菜寮社區活動中心,菜寮村,100,"水災,震災,土石流,海嘯",許丁惠,8943605,否,否,否
2690,花蓮縣壽豐鄉,共和村,農墾2街38號,121.530800,23.869300,共和活動中心,共和村,31,"水災,震災,土石流,海嘯",劉鳳珠,03-8652804,是,否,是
2691,彰化縣埤頭鄉,元埔村,文化路495巷11號,120.503333,23.869502,元埔社區活動中心,元埔村,35,"水災,土石流,海嘯",陳金意,04-8925036,是,否,否
2692,南投縣名間鄉,田仔村,田仔巷41之2號,120.675100,23.870200,田仔社區活動中心,田仔村1-18鄰,50,水災,陳耀裕社,0928-385043,是,否,否
2693,彰化縣北斗鎮,西德里,彰化縣北斗鎮西德里文賢街35號,120.522100,23.870300,萬來國小,西德里,500,"水災,震災,土石流,海嘯",鄭堂閔,04-8882119#15,是,否,是
2694,花蓮縣壽豐鄉,壽豐村,壽山路26號,121.509100,23.870400,壽豐鄉公所,壽豐鄉各村,50,"水災,震災,土石流,海嘯",李昌貴,03-8654110,否,是,是
2695,花蓮縣壽豐鄉,壽豐村,公園路30號,121.509100,23.870400,文化中心,壽豐村,50,"水災,震災,土石流,海嘯",陳自強,03-8652131-122,是,否,是
2696,彰化縣埤頭鄉,芙朝村,文化路829號,120.482115,23.870694,芙朝社區活動中心,芙朝村,25,"水災,土石流,海嘯",顏慶郎,04-8925723,是,是,否
2697,彰化縣北斗鎮,東光里,彰化縣北斗鎮斗中路712號,120.534312,23.871139,螺青國小,東光里、七星里,440,"水災,震災,土石流,海嘯",謝政毓,04-8882031,是,否,是
2698,花蓮縣壽豐鄉,鹽寮村,鹽寮165號,121.598290,23.871385,鹽寮活動中心,鹽寮村,15,"水災,震災,土石流",黃文達,03-8671123,是,否,是
2699,彰化縣北斗鎮,西德里,彰化縣北斗鎮西德里公所街二號,120.521800,23.871400,北斗鎮公所,西德,70,"水災,震災,土石流,海嘯",周世昌,04-8884166#13,是,否,是
2700,南投縣名間鄉,大庄村,大廈巷82-4號,120.655100,23.872200,大庄村集會所,大庄村1-22鄰,30,"水災,震災",陳木根,049-2271189,是,否,否
2701,南投縣名間鄉,赤水村,皮子寮巷21號,120.632400,23.873400,錦梓社區活動中心,赤水村11-20鄰,40,"水災,震災",陳春逢社,0952-271578,是,否,否
2702,彰化縣竹塘鄉,五庄村,竹五路222號,120.431604,23.873491,五庄社區活動中心,五庄村,50,"水災,土石流,海嘯",洪順天,8971939,是,否,是
2703,彰化縣田中鎮,三光里,民光路一段394號,120.566100,23.875500,彰化縣田中鎮明禮國民國小,三民里、三光里、龍潭里、中潭里、大社里,100,"水災,震災,土石流,海嘯",林秋雲,04-8742344,是,否,否
